recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1320,62,1176,1391,0,3887
1310,53,1120,1175,0,3605
1282,57,1184,1268,0,3734
1307,48,1174,1242,0,3723
1297,74,1236,1595,0,4128
1299,64,1236,1484,0,4019
1284,71,1150,1250,0,3684
1310,75,1214,1707,0,4231
1295,57,1170,1385,0,3850
1304,72,1162,1294,0,3760
1294,62,1192,1496,0,3982
1302,58,1160,1330,0,3792
1304,45,1122,1076,1,3502
1290,57,1186,1299,0,3775
1302,75,1234,1597,0,4133
1316,68,1134,1285,0,3735
1289,64,1152,1245,1,3686
1289,51,1142,1242,0,3673
1304,56,1222,1477,0,4003
1302,50,1198,1370,0,3870
1291,55,1204,1302,0,3797
1315,49,1184,1300,0,3799
1270,58,1152,1191,1,3613
1321,69,1138,1324,0,3783
1287,60,1196,1370,0,3853
1317,66,1156,1411,0,3884
1318,55,1142,1235,0,3695
1311,57,1168,1194,0,3673
1300,53,1180,1233,0,3713
1281,69,1230,1361,0,3872
1320,67,1156,1194,0,3670
1311,68,1190,1468,0,3969
1306,65,1186,1655,0,4147
1295,58,1200,1371,0,3866
1297,64,1130,1191,0,3618
1297,72,1128,1248,0,3673
1296,54,1152,1215,2,3663
1314,61,1272,1537,0,4123
1300,63,1178,1317,0,3795
1319,79,1168,1459,0,3946
1291,59,1206,1510,0,4007
1294,55,1174,1277,0,3745
1297,56,1196,1269,0,3762
1301,59,1166,1395,0,3862
1287,71,1176,1377,0,3840
1316,58,1146,1224,0,3686
1297,64,1186,1332,0,3815
1305,68,1214,1530,0,4049
1283,54,1192,1348,0,3823
1314,74,1188,1501,0,4003
1318,57,1202,1477,0,3997
1293,59,1176,1410,0,3879
1313,68,1180,1497,0,3990
1304,59,1178,1391,0,3873
1325,72,1208,1599,0,4132
1296,63,1146,1250,0,3692
1319,61,1166,1357,0,3842
1314,56,1176,1225,0,3715
1296,69,1272,1588,2,4156
1306,52,1156,1327,0,3789
1297,60,1114,1259,0,3670
1310,74,1216,1596,0,4122
