recovery_query,ori_err_cof,query_with_vote,err_cof
1321,61,9247,0
1280,67,9079,0
1297,57,9058,0
1291,52,9135,0
1305,63,9198,0
1316,63,9359,0
1307,60,9212,0
1299,60,9142,0
1319,48,9247,0
1312,58,9261,0
1290,61,9051,0
1304,56,9163,0
1283,43,9079,0
1307,72,9156,0
1302,62,9268,0
1297,58,9191,1
1290,60,9177,0
1273,58,8995,0
1302,59,9170,0
1287,60,9065,0
1295,60,9156,1
1318,74,9338,0
1300,74,9247,0
1320,61,9387,0
1319,59,9310,0
1304,82,9072,0
1298,54,9149,0
1272,61,9030,0
1311,66,9219,0
1304,58,9107,0
1308,80,9296,0
1302,57,9100,0
1298,56,9149,0
1289,67,9114,0
1321,60,9303,0
1287,59,9107,0
1309,66,9296,0
1298,64,9121,0
1307,66,9149,0
1279,66,9086,0
1277,73,9009,0
1304,61,9303,0
1302,70,9191,0
1287,81,9079,0
1320,68,9338,0
1292,54,9065,0
1288,61,9114,0
1300,69,9205,0
1306,52,9163,0
1299,45,9156,0
1336,74,9359,0
1280,58,8932,0
1264,66,8911,1
1278,63,9009,1
1305,51,9163,0
1293,72,9072,2
1315,56,9261,0
1299,65,9114,0
1295,62,9107,0
1287,65,9030,0
1317,53,9275,0
1320,67,9352,0
1302,62,9107,0
1298,53,9184,0
1291,71,9170,1
1289,54,9156,0
1325,73,9373,0
1278,67,9100,0
1293,64,9212,0
1322,61,9352,0
1290,68,9100,0
1328,70,9394,1
1298,73,9184,1
1321,69,9303,0
1308,76,9212,0
1297,72,9128,0
1282,68,9009,0
1293,54,9184,0
1305,61,9191,0
1274,73,9093,2
1306,60,9198,0
1319,67,9296,0
1328,59,9282,0
1293,76,9079,0
1289,52,8988,0
1305,63,9170,0
1293,70,9093,0
1318,70,9345,0
1290,57,9100,0
1318,68,9261,1
1319,58,9177,1
1294,68,9121,0
1342,67,9401,0
1316,65,9331,1
1304,54,9198,0
1294,54,9142,0
1293,57,9135,0
1293,61,9219,1
1315,60,9219,1
1315,57,9219,0
1316,66,9212,0
1277,60,8995,0
1306,57,9198,1
1301,57,9142,0
1298,60,9170,1
1296,67,9268,0
1296,57,9128,0
1299,62,9184,2
1289,57,9163,0
1300,53,9156,0
1302,48,9072,0
1275,65,9037,0
1302,63,9240,0
1303,58,9212,0
1312,57,9093,1
1317,65,9345,0
1323,62,9324,0
1326,58,9331,0
1287,52,9086,0
1305,67,9177,0
1292,59,9191,1
1311,53,9240,1
1283,71,9107,0
1292,64,9079,0
1311,56,9205,0
1297,59,9177,0
1294,73,9156,0
1298,75,9149,0
1299,58,9086,1
1315,74,9282,0
1322,67,9240,0
1321,64,9331,0
1297,66,9226,0
1284,57,9121,0
1317,64,9296,0
1297,52,9149,0
1292,64,9184,0
1291,50,9184,0
1313,73,9198,1
1313,63,9219,0
1284,53,9044,0
1305,72,9282,0
1306,60,9121,1
1304,81,9170,0
1330,65,9429,0
1277,54,9093,0
1313,68,9415,1
1307,68,9219,0
1304,65,9177,2
1319,54,9331,0
1281,74,8967,0
1299,64,9030,0
1288,52,9142,0
1300,66,9191,0
1273,68,8946,0
1305,60,9212,1
1293,63,9114,0
1302,67,9149,0
1302,67,9142,0
1307,77,9198,0
1299,53,9163,0
1290,53,8988,0
1288,57,9093,0
1305,67,9212,0
1305,67,9128,0
1307,61,9184,0
1317,81,9359,0
1306,59,9149,0
1297,56,9156,0
1310,54,9205,0
1307,54,9212,0
1280,67,9016,1
1333,58,9415,0
1342,52,9401,0
1314,63,9247,0
1291,65,9121,0
1312,60,9240,0
1276,52,9121,0
1299,63,9205,0
1318,67,9359,0
1315,65,9233,0
1298,67,9184,0
1320,64,9268,0
1325,81,9331,0
1306,56,9114,0
1306,60,9184,0
1311,62,9352,1
1294,56,9107,0
1291,54,9093,0
1304,64,9303,0
1322,64,9345,0
1314,64,9317,0
1318,70,9254,0
1316,63,9296,0
1307,63,9219,0
1277,87,9009,1
1269,46,8911,0
1309,53,9212,0
1305,74,9205,0
1331,65,9310,1
1285,62,9058,0
1289,79,9226,0
1282,64,9121,0
1324,60,9366,2
1310,62,9205,0
1313,62,9296,1
1274,63,8925,0
1281,80,9058,0
1297,69,9107,1
1315,60,9240,0
1292,55,9114,0
1297,55,9149,0
1286,53,9170,0
1294,55,9107,1
1301,50,9156,0
1306,60,9254,0
1310,66,9310,0
1303,72,9261,0
1315,59,9205,1
1289,68,9030,0
1302,65,9128,1
1317,52,9240,0
1273,54,8974,0
1292,53,9030,0
1282,63,9058,0
1283,61,9030,0
1329,72,9303,0
1292,60,9107,0
1319,51,9247,1
1328,70,9366,0
1298,64,9170,0
1299,67,9163,1
1301,79,9219,0
1280,75,9093,0
1304,67,9212,0
1312,74,9198,0
1318,61,9366,0
1296,58,9198,0
1323,70,9296,0
1281,71,8995,0
1294,70,9114,1
1320,57,9226,0
1296,74,9128,0
1281,61,9023,0
1317,52,9324,0
1284,70,9009,0
1306,60,9212,0
1290,55,9030,1
1305,71,9240,0
1316,61,9366,0
1283,72,9079,1
1287,63,9058,0
1279,60,9072,0
1307,60,9191,0
1304,70,9219,0
1273,63,9037,0
1307,64,9177,0
1305,57,9177,0
1289,65,9037,0
1303,56,9240,0
1320,74,9240,0
1298,59,9226,0
1302,61,9226,1
1301,52,9282,0
1324,52,9289,1
1343,48,9422,1
1300,77,9240,0
1305,49,9226,0
1287,59,9177,0
1291,64,9051,0
1289,57,9128,0
1282,65,9051,1
1318,52,9352,0
1283,68,9009,0
1282,76,9016,0
1315,63,9282,0
1291,63,9093,0
1318,60,9296,1
1320,60,9240,0
1298,64,9149,0
1315,55,9156,1
1296,66,9079,1
1309,68,9219,1
1300,67,9184,0
1295,71,9212,0
1311,61,9240,0
1289,52,9058,0
1342,82,9450,0
1294,64,9163,0
1296,68,9240,1
1298,70,9149,0
1277,72,8960,0
1291,57,9114,0
1313,65,9317,1
1312,67,9268,0
1303,63,9219,0
1310,63,9240,1
1307,56,9233,0
1290,67,9135,0
1304,64,9177,1
1300,55,9135,0
1330,55,9352,0
1295,77,9191,0
1317,61,9331,1
1336,66,9366,0
1295,63,9149,0
1279,69,9009,0
1333,63,9359,0
1300,70,9163,0
1314,65,9219,0
1277,72,9030,0
1277,70,9100,0
1328,59,9317,0
1273,56,8988,0
1294,67,9121,0
1311,67,9282,0
1317,65,9324,0
1318,60,9317,0
1305,64,9142,0
1300,70,9114,0
1318,60,9331,0
1293,64,9198,1
1327,63,9282,0
1293,71,9184,0
1293,62,9079,0
1315,67,9289,1
1312,52,9219,0
1323,55,9275,0
1285,58,9086,0
1305,62,9177,1
1284,71,9226,0
1295,55,9212,0
1309,62,9303,1
1298,76,9093,0
1306,66,9198,0
1303,56,9247,0
1300,61,9142,0
1282,53,9114,0
1307,67,9282,0
1332,65,9296,0
1317,49,9317,0
1286,69,9086,0
1332,80,9359,0
1286,65,9086,0
1308,69,9317,0
1314,55,9275,0
1319,45,9303,1
1319,54,9324,0
1294,63,9121,0
1314,83,9317,1
1310,69,9240,0
1342,77,9478,0
1298,70,9149,0
1303,71,9268,0
1282,62,9065,0
1315,60,9205,1
1305,53,9219,0
1304,55,9282,0
1303,54,9093,1
1298,62,9240,0
1274,75,8932,0
1314,61,9275,0
1282,61,9051,0
1321,70,9296,0
1338,57,9338,0
1311,60,9170,1
1328,57,9296,0
1289,68,9205,0
1294,54,9100,0
1290,72,9177,0
1308,49,9198,0
1284,65,9177,1
1308,72,9282,0
1292,64,9044,1
1301,81,9282,0
1308,65,9261,0
1306,58,9093,0
1313,59,9296,0
1274,62,8932,0
1296,57,9100,0
1275,62,8981,0
1321,67,9282,1
1309,67,9247,2
1279,58,8995,0
1316,51,9247,0
1282,50,9072,0
1271,66,9016,0
1296,59,9212,0
1304,56,9212,0
1293,74,9079,0
1283,74,9093,1
1308,57,9170,0
1286,61,9079,0
1309,71,9198,0
1294,55,9044,0
1320,56,9261,0
1295,69,9156,0
1274,74,8995,0
1310,63,9275,0
1333,67,9394,0
1315,55,9247,0
1295,59,9135,0
