recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1316,5,256,50,1,1622
1337,8,256,91,0,1684
1329,2,256,19,0,1604
1322,7,256,74,1,1652
1339,6,256,66,0,1661
1304,5,256,62,0,1622
1299,7,256,96,0,1651
1284,12,256,141,0,1681
1298,6,256,75,0,1629
1304,6,256,81,0,1641
1307,8,256,75,1,1638
1317,1,256,42,0,1615
1305,8,256,87,2,1648
1295,10,256,99,1,1650
1314,5,256,42,1,1612
1318,5,256,61,0,1635
1331,8,256,87,1,1674
1328,5,256,85,0,1669
1293,12,256,127,0,1676
1307,7,256,87,0,1650
1335,8,256,83,1,1674
1326,5,256,64,0,1646
1334,7,256,82,0,1672
1282,8,256,79,0,1617
1307,10,256,99,0,1662
1310,6,256,72,1,1638
1320,9,256,130,1,1706
1329,6,256,76,1,1661
1308,9,256,104,1,1668
1316,6,256,82,0,1654
1314,2,256,29,0,1599
1301,7,256,83,0,1640
1324,1,256,9,0,1589
1306,2,256,28,0,1590
1319,9,256,113,1,1688
1310,9,256,109,0,1675
1300,9,256,127,1,1683
1305,4,256,49,1,1610
1305,9,256,91,0,1652
1295,9,256,91,0,1642
1312,9,256,94,0,1662
1323,9,256,112,1,1691
1291,11,256,124,0,1671
1286,3,256,46,0,1588
1304,9,256,95,0,1655
1311,9,256,101,2,1668
1302,5,256,54,0,1612
1302,6,256,80,0,1638
1289,9,256,110,0,1655
1301,4,256,41,1,1598
1311,7,256,57,0,1624
1302,11,256,119,1,1677
1275,7,256,91,1,1622
1309,6,256,73,0,1638
1295,12,256,148,0,1699
1314,4,256,51,1,1621
1268,6,256,65,1,1589
1320,3,256,54,1,1630
1305,5,256,42,1,1603
1310,3,256,36,0,1602
1298,13,256,154,1,1708
1332,5,256,72,0,1660
1320,8,256,57,1,1633
1334,3,256,45,0,1635
1283,7,256,82,2,1621
1300,5,256,69,0,1625
1313,3,256,31,0,1600
1322,5,256,79,0,1657
1311,6,256,70,0,1637
1326,8,256,117,0,1699
1319,10,256,117,1,1692
1306,8,256,99,0,1661
1321,3,256,56,1,1633
1301,5,256,52,0,1609
1303,5,256,65,0,1624
1334,7,256,63,0,1653
1312,9,256,96,0,1664
1340,6,256,67,1,1663
1283,8,256,90,2,1629
1312,10,256,98,1,1666
1310,9,256,98,3,1664
1309,10,256,109,1,1674
1299,5,256,45,1,1600
1312,7,256,84,0,1652
1335,7,256,84,0,1675
1310,1,256,21,0,1587
1311,8,256,75,0,1642
1303,4,256,41,1,1600
1312,14,256,169,1,1737
1306,9,256,94,1,1656
1298,6,256,94,1,1648
1294,8,256,98,2,1648
1310,4,256,50,1,1616
1327,8,256,98,1,1681
1305,4,256,41,0,1602
1321,8,256,90,2,1667
1293,9,256,110,0,1659
1298,4,256,51,0,1605
1320,6,256,80,0,1656
1315,6,256,72,1,1643
1313,12,256,126,0,1695
1312,8,256,101,1,1669
1297,4,256,42,0,1595
1311,4,256,38,0,1605
1330,8,256,81,1,1667
1304,5,256,73,1,1633
