recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2566,4050,1,7900
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2536,4318,0,8160
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2356,3694,0,7351
1259,123,2456,4289,0,8004
--new--train--round--
1317,119,2484,4144,0,7945
1317,119,2484,4144,0,7945
1289,114,2436,4132,0,7857
1276,112,2396,4046,0,7718
1284,107,2568,4053,0,7905
1303,118,2388,4169,0,7860
1292,108,2362,3832,0,7486
1307,118,2418,4198,0,7923
1307,127,2492,4181,0,7980
1306,123,2538,4320,0,8164
1313,113,2416,4095,0,7824
1291,126,2442,4291,0,8024
1302,121,2440,4061,0,7803
1274,125,2470,4172,0,7916
1276,126,2432,4220,0,7928
1274,126,2566,4102,0,7942
1296,109,2420,4074,0,7790
1282,132,2440,4188,0,7910
1301,112,2356,3694,0,7351
1259,123,2456,4289,0,8004
